URL,Brand,Model,Hits,Became Fan,Launch Expected Year,Height (mm),Width (mm),Thickness (mm),Body_Weight (g),Display_Type,Pixels_X,Pixels_Y,Display Size (inches),Screen_to_Body_Ratio (%),RAM (GB),Main Camera_Single (MP),Selfie camera_Single (MP),Sound_3.5mm jack,Comms_Bluetooth,Comms_NFC,Battery_Capacity (mAh),Price in USD
https://www.gsmarena.com/samsung_galaxy_fresh_s7390-5841.php,Samsung,Samsung Galaxy Fresh S7390,2619720,40,2013.0,121.5,63.1,10.9,126.0,TFT,480.0,800.0,4.0,59.4,0.5,3.15,,1.0,4.0,,1500.0,159.60000000000002
https://www.gsmarena.com/sony_ericsson_c510-2640.php,Sony,Sony Ericsson C510,3267991,60,2009.0,107.0,47.0,12.5,92.0,"TFT, 256K colors",240.0,320.0,2.2,29.8,0.09765625,3.15,,0.0,2.0,,930.0,152.89999999999998
https://www.gsmarena.com/samsung_c5510-2856.php,Samsung,Samsung C5510,327771,17,2009.0,99.8,47.5,15.3,99.6,"TFT, 256K colors",240.0,320.0,2.2,31.6,0.01953125,2.0,,0.0,2.1,,960.0,125.1
https://www.gsmarena.com/samsung_guru_plus_-7794.php,Samsung,Samsung Guru Plus ,614613,19,2015.0,108.0,45.0,13.2,66.0,"TFT, 65K colors",128.0,128.0,1.5,14.9,0.00390625,,,1.0,,,800.0,22.200000000000003
https://www.gsmarena.com/oppo_k7_5g-10354.php,Oppo,Oppo K7 5G,207534,41,2020.0,160.3,74.3,8.0,180.0,"AMOLED, 430 nits (typ)",1080.0,2400.0,6.4,83.0,8.0,,32.0,1.0,5.1,,4025.0,273.59999999999997
https://www.gsmarena.com/motorola_xt928-4382.php,Motorola,Motorola XT928,346445,21,2011.0,134.8,67.6,9.9,149.0,IPS LCD,720.0,1280.0,4.5,61.3,16.0,13.0,,1.0,2.1,,1735.0,389.2
https://www.gsmarena.com/spice_mi_438_stellar_glide-6319.php,Spice,Spice Mi-438 Stellar Glide,136998,1,2014.0,145.0,79.0,9.5,155.0,TFT,480.0,800.0,4.0,39.8,,2.0,1.3,1.0,4.0,,1350.0,79.80000000000001
https://www.gsmarena.com/celkon_c99-4514.php,Celkon,Celkon C99,49291,3,2010.0,110.0,55.0,10.0,86.0,TFT,240.0,320.0,2.8,40.1,,2.0,,1.0,,,800.0,53.2
https://www.gsmarena.com/alcatel_pixi_3_(3_5)_firefox-6979.php,alcatel,alcatel Pixi 3 (3.5) Firefox,230048,9,2015.0,112.2,62.0,11.9,98.0,"TFT, 256K colors",320.0,480.0,3.5,52.4,0.25,2.0,,1.0,3.0,,1300.0,44.400000000000006
https://www.gsmarena.com/vivo_y93-9388.php,vivo,vivo Y93,3079422,31,2018.0,155.1,75.1,8.3,163.5,IPS LCD,720.0,1520.0,6.2,82.4,4.0,,8.0,1.0,4.2,,4030.0,236.0
https://www.gsmarena.com/nokia_6720_classic-2686.php,Nokia,Nokia 6720 classic,1678124,43,2009.0,110.0,45.0,14.0,110.0,"TFT, 16M colors",240.0,320.0,2.2,30.3,0.048828125,5.0,,1.0,2.0,,1050.0,125.1
https://www.gsmarena.com/zte_blade_a72s-12455.php,ZTE,ZTE Blade A72s,133524,11,2022.0,168.0,77.5,8.6,198.0,"IPS LCD, 90Hz",720.0,1600.0,6.75,84.5,3.0,,5.0,1.0,5.0,,5000.0,126.0
https://www.gsmarena.com/blu_tank-4853.php,BLU,BLU Tank,249961,10,2012.0,114.0,48.0,15.0,92.0,"TFT, 65K colors",128.0,160.0,1.8,18.6,0.03125,,,0.0,2.1,,1800.0,25.8
https://www.gsmarena.com/samsung_galaxy_f42_5g-11124.php,Samsung,Samsung Galaxy F42 5G,1043350,57,2021.0,167.2,76.4,9.0,203.0,"TFT LCD, 90Hz",1080.0,2408.0,6.6,82.1,6.0,,8.0,1.0,5.0,,5000.0,283.2
https://www.gsmarena.com/blu_g93-12460.php,BLU,BLU G93,66609,12,2023.0,168.7,76.7,9.0,210.0,"IPS LCD, 120Hz",1080.0,2460.0,6.78,84.4,6.0,,13.0,1.0,5.2,,5000.0,172.8
https://www.gsmarena.com/samsung_galaxy_v_plus-7395.php,Samsung,Samsung Galaxy V Plus,4452432,24,2015.0,121.4,62.9,10.7,123.0,TFT,480.0,800.0,4.0,59.6,0.5,3.15,,1.0,4.0,,1500.0,77.7
https://www.gsmarena.com/realme_x3_superzoom-10250.php,Realme,Realme X3 SuperZoom,2018552,194,2020.0,163.8,75.8,8.9,202.0,"IPS LCD, 120Hz",1080.0,2400.0,6.6,84.7,8.0,,,0.0,5.0,,4200.0,341.99999999999994
https://www.gsmarena.com/samsung_e1252-3586.php,Samsung,Samsung E1252,469138,16,2010.0,112.7,46.7,13.9,76.7,"TFT, 256K colors",128.0,160.0,2.0,23.9,,,,0.0,,,1000.0,39.900000000000006
https://www.gsmarena.com/nokia_222_dual_sim-7517.php,Nokia,Nokia 222 Dual SIM,929452,16,2015.0,116.0,50.0,12.9,79.0,"TFT, 65K colors",240.0,320.0,2.4,30.8,0.015625,2.0,,1.0,3.0,,1100.0,44.400000000000006
https://www.gsmarena.com/samsung_a877_impression-2760.php,Samsung,Samsung A877 Impression,730537,17,2009.0,114.0,58.0,15.0,150.0,"AMOLED resistive touchscreen, 256K colors",240.0,400.0,3.2,44.1,0.185546875,3.15,,0.0,2.0,,1000.0,152.89999999999998
https://www.gsmarena.com/xiaomi_civi_4_pro-12888.php,Xiaomi,Xiaomi Civi 4 Pro,537431,116,2024.0,,,,,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak)",1236.0,2750.0,6.55,90.4,12.0,,,0.0,5.4,,4700.0,410.40000000000003
https://www.gsmarena.com/samsung_a887_solstice-2891.php,Samsung,Samsung A887 Solstice,464958,17,2009.0,109.0,53.0,12.7,94.0,"TFT resistive touchscreen, 256K colors",240.0,400.0,3.0,44.3,0.1845703125,2.0,,0.0,2.0,,1000.0,83.39999999999999
https://www.gsmarena.com/lg_l40_d160-6286.php,LG,LG L40 D160,509800,23,2014.0,109.4,59.0,11.9,114.0,IPS LCD,320.0,480.0,3.5,56.5,0.5,3.15,,1.0,4.0,,1540.0,106.4
https://www.gsmarena.com/sony_xperia_z5_dual-7537.php,Sony,Sony Xperia Z5 Dual,2619506,301,2015.0,146.0,72.0,7.3,154.0,IPS LCD,1080.0,1920.0,5.2,70.9,3.0,23.0,5.1,1.0,4.1,,2900.0,188.70000000000002
